"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",9194.02397639371,1035.65287364708,8.87751505387772,1.22967794080878e-18
"2","a85a",180.201949874828,41.213233764431,4.37242927611157,1.27592710818584e-05
"3","a7584",196.73522550858,32.45712129945,6.06138861464323,1.54069870079529e-09
"4","a6574",-73.2550702087917,27.3967930028016,-2.67385566629279,0.00754432337693746
"5","a5564",30.1100805338932,26.8316619829032,1.12218469929589,0.261885200621341
"6","a2034",-25.7541578881533,14.573296323959,-1.76721568790257,0.0773067575922859
"7","pdensity",0.0297846573125973,0.0255880860853786,1.16400488935422,0.244526422738937
"8","pop",-1.05991365580852e-07,7.80224954506281e-05,-0.0013584718736396,0.998916198465075
"9","aindian",3.01654666594757,4.81307623262221,0.626739847896431,0.530883562662348
"10","black",2.67840254553999,3.52800462027047,0.759183400767388,0.447810122903103
"11","latino",12.6686721252962,2.55783571523625,4.95288733745985,7.76986613150036e-07
"12","asian",5.13761855288329,11.9261254631781,0.430786894599229,0.666658233077101
"13","sparent",53.3078396167462,17.8889300642455,2.97993448603682,0.00290920546861774
"14","mincome",-0.00509114656458755,0.00416903142652264,-1.22118210292169,0.222125304514494
"15","poverty",14.5675873074869,10.4562949414863,1.39318825540093,0.163679278304093
"16","chci",-17.1943677235468,5.32341816329885,-3.2299487276971,0.00125320668308045
"17","lcp",-3.38962548945877,6.21390910298187,-0.545490034257533,0.585462270241543
"18","ur",-3.38471262707529,14.2014093052505,-0.238336390024609,0.811638557318697
"19","disable",7.74081240278402,10.4220134998881,0.742736746874019,0.457706662648521
"20","hi_pub",-17.4499309949402,6.1089805262287,-2.8564391259752,0.00431746877088435
"21","demv",-22.0486633723489,3.13365291274763,-7.03608982432464,2.5050205146312e-12
"22","hosp",0.0103463859694436,0.0155811040203316,0.66403420168062,0.506725972655065
"23","vcrime",-0.195005680344038,0.14928429943083,-1.30627052602001,0.191573515561737
"24","commute_p",36.3914887452903,14.7540628141829,2.4665401797197,0.0137051511612213
"25","wfh",-62.4692620279265,11.6848140112007,-5.34619224302977,9.74513264483673e-08
"26","computer",-43.511515821628,6.94631634826415,-6.26396979925933,4.36266485344953e-10
"27","p_nursehome",331.025277839139,53.789657867819,6.1540692200086,8.69144456777822e-10
"28","p_liquor",606.240631147849,546.505070492616,1.10930467781642,0.267399046186652
"29","drinking",-27.5812230331396,11.135177134203,-2.47694515324957,0.0133129493349262
"30","prematured",0.147442142855657,0.0177025278736413,8.32887505717162,1.28940919914888e-16
"31","lowbirthw",78.4262620830323,21.4868197155307,3.64997068534744,0.0002673185334414
"32",NA,NA,NA,NA,NA
"33","(Intercept)",19.7042842498502,6.07070796189386,3.24579676267331,0.00118575306733552
"34","a85a",0.600581402299794,0.241580468432497,2.48605115387302,0.0129778902359942
"35","a7584",0.332436820330752,0.190254582115773,1.74732622275798,0.0806961614584036
"36","a6574",-1.13073698257065,0.160592350626877,-7.04103886739799,2.41919602653829e-12
"37","a5564",-0.127902909023898,0.157279710388717,-0.813219382892975,0.416165069843157
"38","a2034",0.0775778759256584,0.085424593776625,0.90814451080113,0.363884143519
"39","pdensity",0.000226353799685745,0.000149990215718812,1.50912376918034,0.13138592049151
"40","pop",7.3641079148649e-07,4.57346082255318e-07,1.61018279167281,0.107476609714673
"41","aindian",0.0943089525704587,0.0282129089293084,3.34275890539198,0.000840979341720031
"42","black",-0.184632598643608,0.0206801779658583,-8.92799853794417,7.90525662444178e-19
"43","latino",-0.00631331123886466,0.0149933187430063,-0.421074969930159,0.673734357335346
"44","asian",-0.237284661429418,0.0699076173553223,-3.3942604598203,0.000698224896274966
"45","sparent",0.0770068380256512,0.104859912943943,0.734378237247041,0.462782976263801
"46","mincome",3.97341255625353e-05,2.44376981113859e-05,1.62593569089155,0.104081792657555
"47","poverty",-0.110901047176946,0.0612918812552074,-1.80939212348819,0.0705029437136683
"48","chci",0.0585190260026597,0.031204390825107,1.87534588739914,0.060854617396232
"49","lcp",-0.00595455609441862,0.0364242000634002,-0.163478019669727,0.870154497131644
"50","ur",-0.137270489011449,0.0832446959142759,-1.64899982519977,0.0992657534285256
"51","disable",0.115535299385407,0.0610909330169021,1.89120207663946,0.0587059329914345
"52","hi_pub",0.194784736080744,0.0358091380454845,5.43952596215328,5.82862457064764e-08
"53","demv",0.0486429435191788,0.0183685983704531,2.64815760779133,0.00814098411575817
"54","hosp",0.000512881928647568,9.13320810844927e-05,5.61557256286642,2.16202470687495e-08
"55","vcrime",-0.00254798783744403,0.000875062878886297,-2.91177685503798,0.00362369744363368
"56","commute_p",-0.07452214886847,0.0864841964672264,-0.861685162291016,0.388938462469208
"57","wfh",-0.343616168692744,0.0684931170047784,-5.01679852982559,5.60008069186255e-07
"58","computer",-0.116170980055057,0.0407173668265323,-2.85310640420287,0.00436286816680656
"59","p_nursehome",0.580007823493966,0.31529995483505,1.83954299580347,0.0659467348751035
"60","p_liquor",-0.571183948122507,3.20346012363351,-0.178302187659088,0.858499238432952
"61","drinking",0.0199435123913428,0.065271299105901,0.305547961577797,0.759972755337342
"62","prematured",0.00021862608277673,0.000103767275351358,2.10688853529648,0.0352206474469409
"63","lowbirthw",0.968737400993237,0.125949737447742,7.69146026521235,2.0335989121266e-14
"64",NA,NA,NA,NA,NA
"65","(Intercept)",506.236237731484,60.5179953925599,8.36505298048457,9.56770759850681e-17
"66","a85a",-0.12521326693777,2.40828018203158,-0.0519928154007989,0.958538322124557
"67","a7584",7.43962901727091,1.8966199652773,3.92257234104523,8.98253228409819e-05
"68","a6574",3.43485350297115,1.60092153935302,2.14554768521591,0.0319993481189438
"69","a5564",1.17013813293378,1.56789831571442,0.746309962327247,0.455546145786725
"70","a2034",-2.12366021469084,0.851585219555235,-2.49377298469317,0.0126996329877239
"71","pdensity",-0.000400859860843436,0.00149523041476835,-0.26809236682464,0.788649008518961
"72","pop",-6.91201244999278e-07,4.55921587275599e-06,-0.15160529009596,0.879509757364018
"73","aindian",-0.38882937588041,0.281250342350837,-1.38250276472687,0.16693344061442
"74","black",1.58339348023257,0.206157654545566,7.68049813004928,2.21130308045074e-14
"75","latino",0.412246111677166,0.14946619081399,2.75812281983023,0.00585317939589007
"76","asian",1.5319749793733,0.696898762314109,2.19827478855933,0.0280153829931508
"77","sparent",2.68439893703276,1.04533305970892,2.56798434919896,0.0102833239739249
"78","mincome",-0.000535675253874266,0.000243615820591746,-2.1988524906679,0.027974216793589
"79","poverty",2.37396240140858,0.611009755482753,3.88531014457033,0.000104692815865004
"80","chci",-0.906724066466025,0.311071985678641,-2.91483678444363,0.0035884726777009
"81","lcp",-0.585281634958997,0.363107496761689,-1.61186877213698,0.1071091328254
"82","ur",-0.194692687276388,0.829854138169343,-0.23461073256305,0.814528935529644
"83","disable",-0.985261485897296,0.609006532030688,-1.61781759977518,0.105820475677859
